tpep_pickup_datetime,PULocationID,fare_amount,trip_distance
2025-02-01 00:03:41,79,30.78,5.16
2025-02-01 00:03:41,114,10.95,0.67
2025-02-01 00:03:41,246,5.1,0.3
2025-02-01 00:03:42,230,12.95,2.41
2025-02-01 00:03:42,90,21.14,2.5
2025-02-01 00:03:42,144,14.2,2.17
2025-02-01 00:03:43,107,10.86,1.81
2025-02-01 00:03:43,163,24.08,4.44
2025-02-01 00:03:43,161,12.93,2.08
2025-02-01 00:03:44,144,7.29,0.74
2025-02-01 00:03:44,79,12.84,1.87
2025-02-01 00:03:45,158,6.5,0.7
2025-02-01 00:03:46,255,35.27,7.1
2025-02-01 00:03:47,90,4.4,0.56
2025-02-01 00:03:47,234,8.6,1.19
2025-02-01 00:03:47,238,23.0,3.3
2025-02-01 00:03:48,263,12.51,2.17
2025-02-01 00:03:48,114,21.9,2.99
2025-02-01 00:03:49,262,27.88,5.29
2025-02-01 00:03:49,198,19.78,3.63
2025-02-01 00:03:50,170,5.8,0.85
2025-02-01 00:03:50,249,14.2,2.1
2025-02-01 00:03:50,148,12.1,2.19
2025-02-01 00:03:50,211,21.71,3.61
2025-02-01 00:03:51,162,16.3,2.47
2025-02-01 00:03:51,249,9.3,1.34
2025-02-01 00:03:52,249,27.5,5.41
2025-02-01 00:03:52,13,21.8,5.1
2025-02-01 00:03:52,148,13.05,1.27
2025-02-01 00:03:53,48,7.2,0.85
2025-02-01 00:03:53,90,18.24,2.8
2025-02-01 00:03:53,238,15.92,2.69
2025-02-01 00:03:55,164,5.8,0.57
2025-02-01 00:03:55,114,7.2,0.87
2025-02-01 00:03:55,170,4.8,0.5
2025-02-01 00:03:55,90,12.27,1.99
2025-02-01 00:03:56,170,7.79,0.72
2025-02-01 00:03:56,79,12.8,1.07
2025-02-01 00:03:58,88,31.28,5.35
2025-02-01 00:03:59,138,47.8,11.06
2025-02-01 00:03:59,113,11.9,1.28
2025-02-01 00:04:00,48,9.3,1.56
2025-02-01 00:04:00,141,18.77,4.99
2025-02-01 00:04:00,144,16.33,2.25
2025-02-01 00:04:00,237,9.3,1.4
2025-02-01 00:04:00,100,8.62,1.21
2025-02-01 00:04:01,148,21.2,4.76
2025-02-01 00:04:01,249,5.8,0.67
2025-02-01 00:04:01,132,30.3,7.67
2025-02-01 00:04:01,164,15.6,2.91
2025-02-01 00:04:01,158,13.5,1.6
2025-02-01 00:04:01,233,8.6,1.41
2025-02-01 00:04:02,113,10.7,1.5
2025-02-01 00:04:02,144,10.54,0.67
2025-02-01 00:04:02,263,10.0,1.31
2025-02-01 00:04:03,68,14.9,2.32
2025-02-01 00:04:03,162,11.4,1.8
2025-02-01 00:04:05,132,48.5,12.8
2025-02-01 00:04:05,141,6.65,1.35
2025-02-01 00:04:06,230,6.5,0.9
2025-02-01 00:04:07,255,12.59,3.63
2025-02-01 00:04:07,116,7.48,1.13
2025-02-01 00:04:07,138,41.5,10.02
